2026-03-24 21:01:52,814 | INFO | app.telegram_session | Telegram connection: using proxy from TELEGRAM_PROXY
2026-03-24 21:01:52,814 | WARNING | app.telegram_session | TELEGRAM_INSECURE_SSL enabled — certificate verification is OFF
2026-03-24 21:01:52,814 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 21:01:52,814 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 21:01:52,814 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 21:01:52,814 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 21:01:52,814 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 21:01:52,814 | INFO | apscheduler.scheduler | Added job "make_db_backup" to job store "default"
2026-03-24 21:01:52,814 | INFO | apscheduler.scheduler | Scheduler started
2026-03-24 21:01:52,822 | WARNING | __main__ | Could not delete webhook (network/SSL?): Invalid proxy response
2026-03-24 21:01:52,822 | INFO | __main__ | Webhook disabled, running in polling mode
2026-03-24 21:01:52,834 | INFO | aiogram.dispatcher | Start polling
2026-03-24 21:01:52,834 | INFO | aiogram.dispatcher | Polling stopped
2026-03-24 21:08:59,369 | INFO | app.telegram_session | Telegram connection: using proxy from TELEGRAM_PROXY
2026-03-24 21:08:59,369 | WARNING | app.telegram_session | TELEGRAM_INSECURE_SSL enabled — certificate verification is OFF
2026-03-24 21:08:59,369 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 21:08:59,379 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 21:08:59,379 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 21:08:59,379 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 21:08:59,379 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 21:08:59,379 | INFO | apscheduler.scheduler | Added job "make_db_backup" to job store "default"
2026-03-24 21:08:59,379 | INFO | apscheduler.scheduler | Scheduler started
2026-03-24 21:09:01,641 | WARNING | __main__ | Could not delete webhook (network/SSL?): Telegram server says - Unauthorized
2026-03-24 21:09:01,643 | INFO | __main__ | Webhook disabled, running in polling mode
2026-03-24 21:09:01,652 | INFO | aiogram.dispatcher | Start polling
2026-03-24 21:09:02,160 | INFO | aiogram.dispatcher | Polling stopped
2026-03-24 21:13:41,037 | INFO | app.telegram_session | Telegram connection: using proxy from TELEGRAM_PROXY
2026-03-24 21:13:41,037 | WARNING | app.telegram_session | TELEGRAM_INSECURE_SSL enabled — certificate verification is OFF
2026-03-24 21:13:41,041 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 21:13:41,041 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 21:13:41,041 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-24 21:13:41,041 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 21:13:41,041 | INFO | apscheduler.scheduler | Added job "send_reminders" to job store "default"
2026-03-24 21:13:41,041 | INFO | apscheduler.scheduler | Added job "make_db_backup" to job store "default"
2026-03-24 21:13:41,041 | INFO | apscheduler.scheduler | Scheduler started
2026-03-24 21:13:44,352 | INFO | __main__ | Webhook disabled, running in polling mode
2026-03-24 21:13:44,364 | INFO | aiogram.dispatcher | Start polling
2026-03-24 21:13:44,862 | INFO | aiogram.dispatcher | Run polling for bot @manikkatya67_bot id=8509768815 - 'Екатерина | Маникюр'
2026-03-24 21:13:52,353 | INFO | aiogram.event | Update id=547213563 is handled. Duration 562 ms by bot id=8509768815
2026-03-24 21:14:15,788 | INFO | aiogram.event | Update id=547213564 is handled. Duration 577 ms by bot id=8509768815
2026-03-24 21:14:18,581 | INFO | aiogram.event | Update id=547213565 is handled. Duration 1140 ms by bot id=8509768815
2026-03-24 21:14:21,988 | INFO | aiogram.event | Update id=547213566 is handled. Duration 1094 ms by bot id=8509768815
2026-03-24 21:14:26,208 | INFO | aiogram.event | Update id=547213567 is handled. Duration 563 ms by bot id=8509768815
2026-03-24 21:14:33,159 | INFO | aiogram.event | Update id=547213568 is handled. Duration 1000 ms by bot id=8509768815
2026-03-24 21:14:36,572 | INFO | aiogram.event | Update id=547213569 is handled. Duration 1187 ms by bot id=8509768815
2026-03-24 21:14:37,110 | INFO | aiogram.event | Update id=547213570 is handled. Duration 625 ms by bot id=8509768815
2026-03-24 21:14:43,961 | INFO | aiogram.event | Update id=547213571 is handled. Duration 625 ms by bot id=8509768815
2026-03-24 21:14:46,441 | INFO | aiogram.event | Update id=547213572 is handled. Duration 641 ms by bot id=8509768815
2026-03-24 21:14:50,396 | INFO | aiogram.event | Update id=547213573 is not handled. Duration 296 ms by bot id=8509768815
2026-03-24 21:14:50,396 | ERROR | aiogram.event | Cause exception while process update id=547213573 by bot id=8509768815
ClientResponseError: 401, message='', url='https://api.yookassa.ru/v3/payments'
Traceback (most recent call last):
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\dispatcher.py", line 320, in _process_update
    response = await self.feed_update(bot, update, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\dispatcher.py", line 164, in feed_update
    response = await self.update.wrap_outer_middleware(
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\middlewares\error.py", line 27, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\middlewares\user_context.py", line 58, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\fsm\middleware.py", line 43, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\app\middlewares.py", line 37, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\app\main.py", line 27, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\event\telegram.py", line 126, in trigger
    return await wrapped_inner(event, kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\event\handler.py", line 71, in call
    return await wrapped()
           ^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\dispatcher.py", line 283, in _listen_update
    return await self.propagate_event(update_type=update_type, event=event, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 161, in propagate_event
    return await observer.wrap_outer_middleware(_wrapped, event=event, data=kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 153, in _wrapped
    return await self._propagate_event(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 189, in _propagate_event
    response = await router.propagate_event(update_type=update_type, event=event, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 161, in propagate_event
    return await observer.wrap_outer_middleware(_wrapped, event=event, data=kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 153, in _wrapped
    return await self._propagate_event(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 181, in _propagate_event
    response = await observer.trigger(event, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\event\telegram.py", line 126, in trigger
    return await wrapped_inner(event, kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\event\handler.py", line 71, in call
    return await wrapped()
           ^^^^^^^^^^^^^^^
  File "C:\work\tgbot\app\handlers.py", line 122, in choose_time
    payment = await yookassa.create_payment(
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\app\payment.py", line 34, in create_payment
    response.raise_for_status()
  File "C:\work\tgbot\.venv\Lib\site-packages\aiohttp\client_reqrep.py", line 636, in raise_for_status
    raise ClientResponseError(
aiohttp.client_exceptions.ClientResponseError: 401, message='', url='https://api.yookassa.ru/v3/payments'
2026-03-24 21:14:53,122 | INFO | aiogram.event | Update id=547213574 is handled. Duration 500 ms by bot id=8509768815
2026-03-24 21:14:59,043 | INFO | aiogram.event | Update id=547213575 is not handled. Duration 265 ms by bot id=8509768815
2026-03-24 21:14:59,043 | ERROR | aiogram.event | Cause exception while process update id=547213575 by bot id=8509768815
ClientResponseError: 401, message='', url='https://api.yookassa.ru/v3/payments'
Traceback (most recent call last):
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\dispatcher.py", line 320, in _process_update
    response = await self.feed_update(bot, update, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\dispatcher.py", line 164, in feed_update
    response = await self.update.wrap_outer_middleware(
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\middlewares\error.py", line 27, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\middlewares\user_context.py", line 58, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\fsm\middleware.py", line 43, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\app\middlewares.py", line 37, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\app\main.py", line 27, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\event\telegram.py", line 126, in trigger
    return await wrapped_inner(event, kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\event\handler.py", line 71, in call
    return await wrapped()
           ^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\dispatcher.py", line 283, in _listen_update
    return await self.propagate_event(update_type=update_type, event=event, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 161, in propagate_event
    return await observer.wrap_outer_middleware(_wrapped, event=event, data=kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 153, in _wrapped
    return await self._propagate_event(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 189, in _propagate_event
    response = await router.propagate_event(update_type=update_type, event=event, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 161, in propagate_event
    return await observer.wrap_outer_middleware(_wrapped, event=event, data=kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 153, in _wrapped
    return await self._propagate_event(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 181, in _propagate_event
    response = await observer.trigger(event, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\event\telegram.py", line 126, in trigger
    return await wrapped_inner(event, kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\event\handler.py", line 71, in call
    return await wrapped()
           ^^^^^^^^^^^^^^^
  File "C:\work\tgbot\app\handlers.py", line 122, in choose_time
    payment = await yookassa.create_payment(
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\app\payment.py", line 34, in create_payment
    response.raise_for_status()
  File "C:\work\tgbot\.venv\Lib\site-packages\aiohttp\client_reqrep.py", line 636, in raise_for_status
    raise ClientResponseError(
aiohttp.client_exceptions.ClientResponseError: 401, message='', url='https://api.yookassa.ru/v3/payments'
2026-03-24 21:15:06,948 | INFO | aiogram.event | Update id=547213576 is handled. Duration 578 ms by bot id=8509768815
2026-03-24 21:15:07,405 | INFO | aiogram.event | Update id=547213577 is handled. Duration 530 ms by bot id=8509768815
2026-03-24 21:15:08,125 | INFO | aiogram.event | Update id=547213578 is handled. Duration 546 ms by bot id=8509768815
2026-03-24 21:15:09,945 | INFO | aiogram.event | Update id=547213579 is handled. Duration 1062 ms by bot id=8509768815
2026-03-24 21:15:13,545 | INFO | aiogram.event | Update id=547213581 is not handled. Duration 405 ms by bot id=8509768815
2026-03-24 21:15:13,545 | ERROR | aiogram.event | Cause exception while process update id=547213581 by bot id=8509768815
ClientResponseError: 401, message='', url='https://api.yookassa.ru/v3/payments'
Traceback (most recent call last):
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\dispatcher.py", line 320, in _process_update
    response = await self.feed_update(bot, update, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\dispatcher.py", line 164, in feed_update
    response = await self.update.wrap_outer_middleware(
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\middlewares\error.py", line 27, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\middlewares\user_context.py", line 58, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\fsm\middleware.py", line 43, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\app\middlewares.py", line 37, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\app\main.py", line 27, in __call__
    return await handler(event, data)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\event\telegram.py", line 126, in trigger
    return await wrapped_inner(event, kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\event\handler.py", line 71, in call
    return await wrapped()
           ^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\dispatcher.py", line 283, in _listen_update
    return await self.propagate_event(update_type=update_type, event=event, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 161, in propagate_event
    return await observer.wrap_outer_middleware(_wrapped, event=event, data=kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 153, in _wrapped
    return await self._propagate_event(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\work\tgbot\.venv\Lib\site-packages\aiogram\dispatcher\router.py", line 189, in _propagate_event
    response = await router.propagate_event(update_type=update_type, event=event, **kwargs)
